OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,194047,267494,167228,134161,93478
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,227815,283182,194494,153753,104428
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178299,287754,194982,149378,110720
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,261407,318724,216572,177338,113871
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,239907,298367,205042,165060,97604
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,265261,375545,241867,193980,123862
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216354,286635,185042,149379,107176
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,229426,306241,203468,161978,110681
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,195284,269788,167926,134500,93778
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,229350,285567,195438,154254,104744
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,179592,291237,196301,150038,111576
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,257147,313925,212666,174045,111846
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,237441,295728,202538,162937,96178
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,261896,371653,238505,190965,122001
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,214060,284027,182880,147412,105886
